Index,Word,Definition,Comfort,Synonyms,Example
463,Acrimony,bitterness and ill will .,0.25,,
464,Adamant,refusing to change one's mind .,0.0,,
465,Admonish,to warn strongly,0.5,,
466,Admonitory,serving to warn; expressing reproof or reproach especially as a corrective .,0.5,,
467,Aesthete,one who professes great sensitivity to the beauty of art and nature .,1.0,,
468,Aesthetic,concerned with the appreciation of beauty .,0.0,,
469,Aesthetic,a set of principles underlying and guiding the work of a particular artist or artistic movement. .,-0.25,,
470,Amalgam,a mixture of multiple things .,0.0,,
471,Ambiguous,open to more than one interpretation .,0.5,,
472,Ambivalent,mixed or conflicting emotions about something .,0.0,,
473,Ameliorate,make something bad better .,0.0,,
474,Amenable,easily persuaded .,0.25,,
475,Amorphous,shapeless .,0.0,,
476,Anomalous,not normal .,0.0,,
477,Anomaly,something that is not normal,0.25,,
478,Antipathy,an intense feeling of dislike or aversion .,0.25,,
479,Antithetical,sharply contrasted in character or purpose .,0.0,,
480,Apathetic,marked by a lack of interest .,0.25,,
481,Apathy,an absence of emotion or enthusiasm .,0.5,,
482,Apocryphal,being of questionable authenticity .,-2.0,,
483,Appease,pacify by acceding to the demands of .,0.25,,
484,Arbitrary,based on a random,0.5,,
485,Arcane,requiring secret or mysterious knowledge .,0.25,,
486,Arduous,demanding considerable mental effort and skill; testing powers of endurance .,0.25,,
487,Artful,exhibiting artistic skill .,0.25,,
488,Artful,clever in a cunning way .,0.0,,
489,Ascetic,practicing self-denial .,0.0,,
490,Ascetic,one who practices great self-denial .,0.25,,
491,Askance,with a look of suspicion or disapproval .,-0.5,,
492,Audacious,willing to be bold in social situations or to take risks .,0.25,,
493,Audacity,aggressive boldness in social situations .,0.0,,
494,Auspicious,favorable,0.0,,
495,Austere,practicing self-denial .,0.25,,
496,Austere,unadorned in style or appearance .,0.25,,
497,Austere,harsh in manner of temperament .,0.25,,
498,Avaricious,excessively greedy .,-0.25,,
499,Banal,repeated too often; overfamiliar through overuse .,-0.25,,
500,Banality,a trite or obvious remark .,0.5,,
501,Belie,to give a false representation to; misrepresent .,0.0,,
502,Belligerent,characteristic of one eager to fight .,0.0,,
503,Betray,to reveal or make known something,1.25,,
504,Blatant,without any attempt at concealment; completely obvious .,0.25,,
505,Bolster,support and strengthen .,0.25,,
506,Brazen,unrestrained by convention or propriety .,0.0,,
507,Bucolic,relating to the pleasant aspects of the country .,0.0,,
508,Bumbling,lacking physical movement skills,0.0,,
509,Burgeon,grow and flourish .,0.0,,
510,Calumny,making of a false statement meant to injure a person's reputation .,0.0,,
511,Capricious,determined by chance or impulse or whim rather than by necessity or reason .,0.25,,
512,Castigate,to reprimand harshly .,0.0,,
513,Censure,to express strong disapproval .,0.0,,
514,Chastise,to reprimand harshly .,0.0,,
515,Chortle,to chuckle,0.25,,
516,Circumscribe,restrict or confine .,0.25,,
517,Circumvent,cleverly find a way out of one's duties or obligations .,0.0,,
518,Commensurate,to be in proportion or corresponding in degree or amount .,0.0,,
519,Concede,acknowledge defeat .,0.75,,
520,Concede,admit (to a wrongdoing) .,0.0,,
521,Concede,give over; surrender or relinquish to the physical control of another .,0.0,,
522,Confound,be confusing or perplexing to .,0.0,,
523,Confound,mistake one thing for another .,0.0,,
524,Conspicuous,without any attempt at concealment; completely obvious .,0.0,,
525,Constituent,a citizen who is represented in a government by officials for whom he or she votes .,0.0,,
526,Constituent,an abstract part of something .,0.25,,
527,Construe,interpreted in a particular way .,0.25,,
528,Contingent,a gathering of persons representative of some larger group .,0.0,,
529,Contingent,possible but not certain to occur .,0.25,,
530,Contrition,the feeling of remorse or guilt that comes from doing something bad .,0.25,,
531,Contrive,to pull off a plan or scheme,0.25,,
532,Copious,in abundant supply .,0.5,,
533,Craven,pathetically cowardly .,0.0,,
534,Cryptic,mysterious or vague,0.5,,
535,Culminate,reach the highest or most decisive point .,0.25,,
536,Culpability,a state of guilt .,0.0,,
537,Decorous,characterized by good taste in manners and conduct .,0.25,,
538,Decorum,propriety in manners and conduct .,0.0,,
539,Deferential,showing respect .,0.0,,
540,Deleterious,harmful to living things .,0.25,,
541,Delineate,describe in detail .,0.75,,
542,Demur,to object or show reluctance .,0.0,,
543,Denigrate,charge falsely or with malicious intent; attack the good name and reputation of someone .,0.0,,
544,Denote,be a sign or indication of; have as a meaning .,0.0,,
545,Derivative,(or a creative product,0.25,,
546,Derive,come from; be connected by a relationship of blood,-0.25,,
547,Derive,reason by deduction; establish by deduction .,0.5,,
548,Dictatorial,expecting unquestioning obedience; characteristic of an absolute ruler .,0.25,,
549,Didactic,instructive (especially excessively) .,0.25,,
550,Diffident,showing modest reserve; lacking self-confidence .,0.5,,
551,Dilatory,wasting time .,0.25,,
552,Dilettante,an amateur who engages in an activity without serious intentions and who pretends to have knowledge .,0.0,,
553,Disaffected,discontented as toward authority .,0.0,,
554,Discrete,constituting a separate entity or part .,0.0,,
555,Disinterested,unbiased; neutral .,0.0,,
556,Dispassionate,unaffected by strong emotion or prejudice .,-0.25,,
557,Disseminate,cause to become widely known .,-1.75,,
558,Dogmatic,highly opinionated,0.25,,
559,Duress,compulsory force or threat .,-0.25,,
560,Eclectic,comprised of a variety of styles .,0.0,,
561,Economical,avoiding waste,0.75,,
562,Edifying,enlightening or uplifting so as to encourage intellectual or moral improvement .,0.5,,
563,Efficacious,producing the intended result .,0.0,,
564,Egregious,standing out in negative way; shockingly bad .,0.0,,
565,Elicit,call forth (emotions,0.0,,
566,Elucidate,make clearer and easier to understand .,0.25,,
567,Eminent,standing above others in quality or position .,0.25,,
568,Enervate,to sap energy from .,0.0,,
569,Engender,give rise to .,0.0,,
570,Entrenched,fixed firmly or securely .,0.0,,
571,Ephemeral,lasting a very short time .,0.0,,
572,Equivocal,confusing or ambiguous .,0.25,,
573,Eradicate,to completely destroy .,0.25,,
574,Erudite,having or showing profound knowledge .,0.75,,
575,Eschew,avoid and stay away from deliberately; stay clear of .,0.5,,
576,Esoteric,confined to and understandable by only an enlightened inner circle .,0.5,,
577,Espouse,to adopt or support an idea or cause .,0.25,,
578,Exacerbate,make worse .,0.25,,
579,Exacting,requiring and demanding accuracy .,0.0,,
580,Exalt,praise or glorify .,0.0,,
581,Exonerate,pronounce not guilty of criminal charges .,-0.25,,
582,Expound,add details or explanation; clarify the meaning; state in depth .,-0.25,,
583,Extant,the opposite of extinct .,-0.25,,
584,Fallacious,of a belief that is based on faulty reasoning .,0.75,,
585,Fastidious,overly concerned with details; fussy .,0.0,,
586,Flux,a state of uncertainty about what should be done (usually following some important event) .,0.25,,
587,Foment,try to stir up public opinion .,0.0,,
588,Forlorn,marked by or showing hopelessness .,0.0,,
589,Forthcoming,available when required or as promised .,-0.75,,
590,Forthcoming,at ease in talking to others .,0.0,,
591,Fortuitous,occurring by happy chance; having no cause or apparent cause .,0.0,,
592,Frivolous,not serious in content or attitude or behavior .,0.0,,
593,Frugal,not spending much money (but spending wisely) .,0.25,,
594,Frustrate,hinder or prevent (the efforts,-1.25,,
595,Furtive,marked by quiet and caution and secrecy; taking pains to avoid being observed .,0.0,,
596,Gainsay,deny or contradict; speak against or oppose .,-0.25,,
597,Gall,the trait of being rude and impertinent .,0.0,,
598,Gall,feeling of deep and bitter anger and ill-will .,0.0,,
599,Galvanize,to excite or inspire (someone) to action .,0.0,,
600,Garrulous,full of trivial conversation .,0.0,,
601,Gauche,lacking social polish .,0.0,,
602,Germane,relevant and appropriate .,0.25,,
603,Glut,an excessive supply .,-0.5,,
604,Glut,supply with an excess of .,0.0,,
605,Gossamer,characterized by unusual lightness and delicacy .,0.25,,
606,Gregarious,to be likely to socialize with others .,0.25,,
607,Guileless,free of deceit .,0.25,,
608,Hackneyed,lacking significance through having been overused .,0.0,,
609,Haphazard,marked by great carelessness; dependent upon or characterized by chance .,-0.25,,
610,Harangue,a long pompous speech; a tirade .,0.0,,
611,Harangue,to deliver a long pompous speech or tirade .,0.0,,
612,Harried,troubled persistently especially with petty annoyances .,0.0,,
613,Haughty,having or showing arrogant superiority to and disdain of those one views as unworthy .,0.25,,
614,Hegemony,dominance over a certain area .,0.25,,
615,Heretic,a person who holds unorthodox opinions in any field (not merely religion) .,0.0,,
616,Iconoclast,somebody who attacks cherished beliefs or institutions .,0.0,,
617,Iconoclastic,defying tradition or convention .,0.5,,
618,Idiosyncrasy,a behavioral attribute that is distinctive and peculiar to an individual .,-1.0,,
619,Ignoble,dishonorable .,-0.75,,
620,Ignominious,(used of conduct or character) deserving or bringing disgrace or shame .,-0.25,,
621,Immutable,not able to be changed .,0.0,,
622,Impartial,free from undue bias or preconceived opinions .,0.5,,
623,Impertinent,being disrespectful; improperly forward or bold .,0.0,,
624,Implacable,incapable of making less angry or hostile .,0.25,,
625,Implausible,describing a statement that is not believable .,0.0,,
626,Imprudent,not wise .,0.0,,
627,Impudent,improperly forward or bold .,0.75,,
628,Incisive,having or demonstrating ability to recognize or draw fine distinctions .,0.0,,
629,Incongruous,lacking in harmony or compatibility or appropriateness .,0.0,,
630,Incorrigible,impervious to correction by punishment .,0.5,,
631,Indecorous,not in keeping with accepted standards of what is right or proper in polite society .,0.0,,
632,Indifference,the trait of seeming not to care .,0.25,,
633,Inexorable,impossible to stop or prevent .,0.0,,
